year,total,coal,Liquid_fuels,natural_gas,hydro,renewable_wastes
1970, 8 623,"32,7","30,2",-,"35,2","1,9"
1971, 9 781,"30,4","41,2",-,"26,7","1,7"
1972, 11 242,"26,0","43,9",-,"28,5","1,6"
1973, 12 425,"26,1","51,3",-,"21,0","1,6"
1974, 13 477,"28,8","44,8",-,"24,9","1,5"
1975, 15 623,"26,3","34,5",-,"37,8","1,4"
1976, 18 283,"23,7","29,6",-,"45,8","0,9"
1977, 20 565,"23,8","33,4",-,"41,7","1,1"
1978, 21 726,"25,7","30,7",-,"43,0","0,6"
1979, 22 522,"28,6","25,1",-,"45,7","0,6"
1980, 23 275,"25,6","25,0",-,"48,8","0,6"
1981, 24 673,"24,9","23,6",-,"51,1","0,4"
1982, 26 552,"24,2","22,4",-,"53,4","0,0"
1983, 27 347,"31,4","27,1",-,"41,5","0,0"
1984, 30 614,"33,0","23,0",-,"43,9","0,1"
1985, 34 219,"43,9","20,7","0,2","35,2","0,0"
1986, 39 695,"49,0","17,6","3,4","29,9","0,1"
1987, 44 353,"39,8","12,4","5,7","42,0","0,1"
1988, 48 049,"26,0","6,9","6,7","60,3","0,1"
1989, 52 043,"38,9","8,2","18,3","34,5","0,1"
1990, 57 543,"35,1","6,8","17,7","40,2","0,2"
1991, 60 246,"35,8","5,6","20,8","37,6","0,2"
1992, 67 342,"36,5","7,8","16,0","39,5","0,2"
1993, 73 808,"32,1","7,0","14,6","46,1","0,2"
1994, 78 322,"36,0","7,1","17,6","39,1","0,2"
1995, 86 247,"32,5","6,7","19,2","41,2","0,4"
1996, 94 862,"32,0","6,9","18,1","42,7","0,3"
1997, 103 296,"32,8","6,9","21,4","38,5","0,4"
1998, 111 022,"32,2","7,2","22,4","38,0","0,3"
1999, 116 440,"31,8","6,9","31,2","29,8","0,3"
2000, 124 922,"30,6","7,5","37,0","24,7","0,3"
2001, 122 725,"31,3","8,4","40,4","19,6","0,3"
2002, 129 400,"24,8","8,3","40,6","26,0","0,3"
2003, 140 581,"22,9","6,6","45,2","25,1","0,2"
2004, 150 698,"22,8","5,0","41,3","30,6","0,3"
2005, 161 956,"26,6","3,4","45,3","24,4","0,3"
2006, 176 300,"26,4","2,4","45,8","25,1","0,3"
2007, 191 558,"27,9","3,4","49,6","18,7","0,4"
2008, 198 418,"29,1","3,8","49,7","16,8","0,6"
2009, 194 813,"28,6","2,5","49,3","18,5","1,2"
2010, 211 208,"26,1","1,0","46,5","24,5","1,9"
2011, 229 395,"28,8","0,4","45,4","22,8","2,6"
2012, 239 497,"28,4","0,7","43,6","24,2","3,1"
2013, 240 154,"26,6","0,7","43,8","24,7","4,2"
2014, 251 963,"30,2","0,9","47,9","16,1","4,9"
2015, 261 783,"29,1","0,9","37,9","25,6","6,5"
2016, 274 408,"33,7","0,7","32,5","24,5","8,6"
2017, 297 278,"32,8","0,4","37,2","19,6","10,0"
2018, 304 802,"37,2","0,1","30,3","19,7","12,7"
2019, 303 898,"37,1","0,1","18,9","29,2","14,7"
2020, 306 703,"34,5","0,1","23,1","25,5","16,8"
2021, 334 723,"30,9","0,1","33,2","16,7","19,1"
